Country/Region,year,month_name,mean_cases
Algeria,2020,October,54310.67741935484
Algeria,2020,November,69146.13333333333
Algeria,2020,December,93037.74193548386
Algeria,2021,January,103621.54838709677
Algeria,2021,February,110596.92857142857
Algeria,2021,March,115416.06451612903
Algeria,2021,April,119377.93333333333
Algeria,2021,May,125496.87096774194
Algeria,2021,June,134352.96666666667
Algeria,2021,July,152726.16129032258
Algeria,2021,August,186738.67741935485
Algeria,2021,September,200541.26666666666
Algeria,2021,October,205104.16129032258
Algeria,2021,November,208316.93333333332
Algeria,2021,December,214077.1935483871
Algeria,2022,January,230355.29032258064
Algeria,2022,February,261337.75
Algeria,2022,March,265445.9032258064
Algeria,2022,April,265736.0333333333
Algeria,2022,May,265827.70967741933
Algeria,2022,June,265964.4666666667
Algeria,2022,July,266556.32258064515
Algeria,2022,August,269182.4516129032
Algeria,2022,September,270563.73333333334
Algeria,2022,October,270749.5483870968
Algeria,2022,November,270967.2
Algeria,2022,December,271162.5483870968
Algeria,2023,January,271300.03225806454
Algeria,2023,February,271415.35714285716
Algeria,2023,March,271475.8888888889
Andorra,2020,January,0.0
Andorra,2020,February,0.0
Andorra,2020,March,89.90322580645162
Andorra,2020,April,636.8666666666667
Andorra,2020,May,758.0
Andorra,2020,June,850.3666666666667
Andorra,2020,July,876.5806451612904
Andorra,2020,August,1012.3225806451613
Andorra,2020,September,1509.1666666666667
Andorra,2020,October,3324.7419354838707
Andorra,2020,November,5830.233333333334
Andorra,2020,December,7423.064516129032
Andorra,2021,January,9007.290322580646
Andorra,2021,February,10479.0
Andorra,2021,March,11366.935483870968
Andorra,2021,April,12687.766666666666
Andorra,2021,May,13508.193548387097
Andorra,2021,June,13825.466666666667
Andorra,2021,July,14266.41935483871
Andorra,2021,August,14922.41935483871
Andorra,2021,September,15116.3
Andorra,2021,October,15354.645161290322
Andorra,2021,November,16038.0
Andorra,2021,December,20312.548387096773
Andorra,2022,January,30061.967741935485
Andorra,2022,February,37260.07142857143
Andorra,2022,March,39070.41935483871
Andorra,2022,April,40640.86666666667
Andorra,2022,May,42225.1935483871
Andorra,2022,June,43393.333333333336
Andorra,2022,July,44884.967741935485
Andorra,2022,August,45900.032258064515
Andorra,2022,September,46123.066666666666
Andorra,2022,October,46377.41935483871
Andorra,2022,November,46735.13333333333
Andorra,2022,December,47534.32258064516
Andorra,2023,January,47795.93548387097
Andorra,2023,February,47859.142857142855
Andorra,2023,March,47878.333333333336
Angola,2020,January,0.0
Angola,2020,February,0.0
Angola,2020,March,1.5483870967741935
Angola,2020,April,20.033333333333335
Angola,2020,May,52.87096774193548
Angola,2020,June,155.33333333333334
Angola,2020,July,646.741935483871
Angola,2020,August,1908.3870967741937
Angola,2020,September,3715.633333333333
Angola,2020,October,7527.387096774193
Angola,2020,November,13480.566666666668
Angola,2020,December,16387.677419354837
Angola,2021,January,18719.0
Angola,2021,February,20339.571428571428
Angola,2021,March,21493.387096774193
Angola,2021,April,24202.366666666665
Angola,2021,May,30587.322580645163
Angola,2021,June,36991.333333333336
Angola,2021,July,40676.3870967742
Angola,2021,August,44987.06451612903
Angola,2021,September,51748.666666666664
Angola,2021,October,62237.48387096774
Angola,2021,November,64889.96666666667
Angola,2021,December,68159.58064516129
Angola,2022,January,92628.41935483871
Angola,2022,February,98528.92857142857
Angola,2022,March,98956.32258064517
Angola,2022,April,99231.2
Angola,2022,May,99361.0
Angola,2022,June,99916.9
Angola,2022,July,101816.41935483871
Angola,2022,August,102592.7741935484
Angola,2022,September,102999.0
Angola,2022,October,103131.0
Angola,2022,November,103499.83333333333
Angola,2022,December,104896.6129032258
Angola,2023,January,105117.96774193548
Angola,2023,February,105192.82142857143
Angola,2023,March,105279.44444444444
Antarctica,2020,January,0.0
Antarctica,2020,February,0.0
Antarctica,2020,March,0.0
Antarctica,2020,April,0.0
Antarctica,2020,May,0.0
Antarctica,2020,June,0.0
Antarctica,2020,July,0.0
Antarctica,2020,August,0.0
Antarctica,2020,September,0.0
Antarctica,2020,October,0.0
Antarctica,2020,November,0.0
Antarctica,2020,December,0.0
Antarctica,2021,January,0.0
Antarctica,2021,February,0.0
Antarctica,2021,March,0.0
Antarctica,2021,April,0.0
Antarctica,2021,May,0.0
Antarctica,2021,June,0.0
Antarctica,2021,July,0.0
Antarctica,2021,August,0.0
Antarctica,2021,September,0.0
Antarctica,2021,October,0.0
Antarctica,2021,November,0.0
Antarctica,2021,December,6.387096774193548
Antarctica,2022,January,11.0
Antarctica,2022,February,11.0
Antarctica,2022,March,11.0
Antarctica,2022,April,11.0
Antarctica,2022,May,11.0
Antarctica,2022,June,11.0
Antarctica,2022,July,11.0
Antarctica,2022,August,11.0
Antarctica,2022,September,11.0
Antarctica,2022,October,11.0
Antarctica,2022,November,11.0
Antarctica,2022,December,11.0
Antarctica,2023,January,11.0
Antarctica,2023,February,11.0
Antarctica,2023,March,11.0
Antigua and Barbuda,2020,January,0.0
Antigua and Barbuda,2020,February,0.0
Antigua and Barbuda,2020,March,1.967741935483871
Antigua and Barbuda,2020,April,20.566666666666666
Antigua and Barbuda,2020,May,25.032258064516128
Antigua and Barbuda,2020,June,34.2
Antigua and Barbuda,2020,July,76.3225806451613
Antigua and Barbuda,2020,August,92.93548387096774
Antigua and Barbuda,2020,September,96.2
Antigua and Barbuda,2020,October,115.6774193548387
Antigua and Barbuda,2020,November,134.9
Antigua and Barbuda,2020,December,150.19354838709677
Antigua and Barbuda,2021,January,185.7741935483871
Antigua and Barbuda,2021,February,462.75
Antigua and Barbuda,2021,March,970.483870967742
Antigua and Barbuda,2021,April,1202.4333333333334
Antigua and Barbuda,2021,May,1245.516129032258
Antigua and Barbuda,2021,June,1262.8333333333333
Antigua and Barbuda,2021,July,1273.5483870967741
Antigua and Barbuda,2021,August,1444.3548387096773
Antigua and Barbuda,2021,September,2396.9333333333334
Antigua and Barbuda,2021,October,3824.548387096774
Antigua and Barbuda,2021,November,4113.9
Antigua and Barbuda,2021,December,4191.193548387097
Antigua and Barbuda,2022,January,5442.709677419355
Antigua and Barbuda,2022,February,7192.428571428572
Antigua and Barbuda,2022,March,7469.322580645161
Antigua and Barbuda,2022,April,7539.9
Antigua and Barbuda,2022,May,7844.580645161291
Antigua and Barbuda,2022,June,8506.033333333333
Antigua and Barbuda,2022,July,8706.935483870968
Antigua and Barbuda,2022,August,8860.838709677419
Antigua and Barbuda,2022,September,9007.366666666667
Antigua and Barbuda,2022,October,9103.161290322581
Antigua and Barbuda,2022,November,9106.0
Antigua and Barbuda,2022,December,9106.0
Antigua and Barbuda,2023,January,9106.0
Antigua and Barbuda,2023,February,9106.0
Antigua and Barbuda,2023,March,9106.0
Argentina,2020,January,0.0
Argentina,2020,February,0.0
Argentina,2020,March,210.61290322580646
Argentina,2020,April,2585.866666666667
Argentina,2020,May,8888.90322580645
Argentina,2020,June,36375.066666666666
Argentina,2020,July,120282.93548387097
Argentina,2020,August,298198.8064516129
Argentina,2020,September,584866.0666666667
Argentina,2020,October,965242.2258064516
Argentina,2020,November,1310243.1666666667
Argentina,2020,December,1520541.5483870967
Argentina,2021,January,1784272.9677419355
Argentina,2021,February,2026208.857142857
Argentina,2021,March,2216572.935483871
Argentina,2021,April,2647225.066666667
Argentina,2021,May,3349195.6129032257
Argentina,2021,June,4168661.2333333334
Argentina,2021,July,4722135.322580645
Argentina,2021,August,5082387.064516129
Argentina,2021,September,5229972.566666666
Argentina,2021,October,5272677.193548387
Argentina,2021,November,5308823.766666667
Argentina,2021,December,5406201.903225807
Argentina,2022,January,7080963.741935484
Argentina,2022,February,8733580.5
Argentina,2022,March,8983451.193548387
Argentina,2022,April,9057711.733333332
Argentina,2022,May,9135012.387096774
Argentina,2022,June,9306847.433333334
Argentina,2022,July,9446833.967741935
Argentina,2022,August,9623785.193548387
Argentina,2022,September,9697537.633333333
Argentina,2022,October,9714576.870967742
Argentina,2022,November,9722149.366666667
Argentina,2022,December,9795097.387096774
Argentina,2023,January,1.0004569967741935E7
Argentina,2023,February,1.0041226285714285E7
Argentina,2023,March,1.0044494777777778E7
Armenia,2020,January,0.0
Armenia,2020,February,0.0
Armenia,2020,March,132.2258064516129
Armenia,2020,April,1217.0333333333333
Armenia,2020,May,4885.322580645161
Armenia,2020,June,17365.566666666666
Armenia,2020,July,33111.709677419356
Armenia,2020,August,41486.74193548387
Armenia,2020,September,46611.96666666667
Armenia,2020,October,64916.6129032258
Armenia,2020,November,116017.13333333333
Armenia,2020,December,149555.32258064515
Armenia,2021,January,163744.25806451612
Armenia,2021,February,169326.7142857143
Armenia,2021,March,180746.29032258064
Armenia,2021,April,205872.13333333333
Armenia,2021,May,220386.67741935485
Armenia,2021,June,223891.7
Armenia,2021,July,227294.74193548388
Armenia,2021,August,235430.8064516129
Armenia,2021,September,251377.03333333333
Armenia,2021,October,282266.5483870968
Armenia,2021,November,327795.2
Armenia,2021,December,342785.0967741936
Armenia,2022,January,350408.2580645161
Armenia,2022,February,403875.9285714286
Armenia,2022,March,421906.22580645164
Armenia,2022,April,422728.06666666665
Armenia,2022,May,422910.12903225806
Armenia,2022,June,423060.9
Armenia,2022,July,424141.93548387097
Armenia,2022,August,429946.2580645161
Armenia,2022,September,439142.6
Armenia,2022,October,444472.3870967742
Armenia,2022,November,445481.6666666667
Armenia,2022,December,445868.8387096774
Armenia,2023,January,445992.51612903224
Armenia,2023,February,446371.9285714286
Armenia,2023,March,446927.6666666667
Australia,2020,January,3.8
Australia,2020,February,14.862068965517242
Australia,2020,March,1150.9354838709678
Australia,2020,April,6273.533333333334
Australia,2020,May,7020.1612903225805
Australia,2020,June,7420.366666666667
Australia,2020,July,11668.387096774193
Australia,2020,August,22938.41935483871
Australia,2020,September,26696.633333333335
Australia,2020,October,27366.58064516129
Australia,2020,November,27750.466666666667
Australia,2020,December,28130.516129032258
Australia,2021,January,28677.8064516129
Australia,2021,February,28899.64285714286
Australia,2021,March,29149.967741935485
Australia,2021,April,29523.666666666668
Australia,2021,May,29975.41935483871
Australia,2021,June,30319.166666666668
Australia,2021,July,32015.09677419355
Australia,2021,August,41964.16129032258
Australia,2021,September,81256.23333333334
Australia,2021,October,142314.83870967742
Australia,2021,November,192549.33333333334
Australia,2021,December,264127.9032258064
Australia,2022,January,1647979.4838709678
Australia,2022,February,2939466.25
Australia,2022,March,3818788.9677419355
Australia,2022,April,5338839.633333334
Australia,2022,May,6683247.322580645
Australia,2022,June,7741189.766666667
Australia,2022,July,8796960.032258065
Australia,2022,August,9818873.451612903
Australia,2022,September,1.0145999366666667E7
Australia,2022,October,1.0310370806451613E7
Australia,2022,November,1.0517906466666667E7
Australia,2022,December,1.0938036290322581E7
Australia,2023,January,1.1238331677419355E7
Australia,2023,February,1.1336527392857144E7
Australia,2023,March,1.1384880666666666E7
Austria,2020,January,0.0
Austria,2020,February,0.27586206896551724
Austria,2020,March,2301.2903225806454
Austria,2020,April,13738.766666666666
Austria,2020,May,16055.129032258064
Austria,2020,June,17069.766666666666
Austria,2020,July,19187.8064516129
Austria,2020,August,23478.129032258064
Austria,2020,September,34778.7
Austria,2020,October,64598.51612903226
Austria,2020,November,196890.03333333333
Austria,2020,December,322688.2580645161
Austria,2021,January,385945.9032258064
Austria,2021,February,429462.46428571426
Austria,2021,March,493214.6451612903
Austria,2021,April,578494.5666666667
Austria,2021,May,629740.4838709678
Austria,2021,June,643800.8333333334
Austria,2021,July,649063.7741935484
Austria,2021,August,665981.1612903225
Austria,2021,September,710921.0666666667
Austria,2021,October,772169.7096774194
Austria,2021,November,973800.8666666667
Austria,2021,December,1227613.064516129
Austria,2022,January,1471886.7419354839
Austria,2022,February,2288133.535714286
Austria,2022,March,3270891.8387096776
Austria,2022,April,4052617.433333333
Austria,2022,May,4245057.935483871
Austria,2022,June,4350447.433333334
Austria,2022,July,4626379.741935484
Austria,2022,August,4877349.645161291
Austria,2022,September,5022742.933333334
Austria,2022,October,5318918.193548387
Austria,2022,November,5501657.266666667
Austria,2022,December,5637470.580645162
Austria,2023,January,5743735.9677419355
Austria,2023,February,5843432.642857143
Austria,2023,March,5940494.444444444
Azerbaijan,2020,January,0.0
Azerbaijan,2020,February,0.0
Azerbaijan,2020,March,62.193548387096776
Azerbaijan,2020,April,1178.4333333333334
Azerbaijan,2020,May,3276.1290322580644
Azerbaijan,2020,June,10884.966666666667
Azerbaijan,2020,July,25640.129032258064
Azerbaijan,2020,August,34366.645161290326
Azerbaijan,2020,September,38544.63333333333
Azerbaijan,2020,October,45281.709677419356
Azerbaijan,2020,November,81143.03333333334
Azerbaijan,2020,December,181582.87096774194
Azerbaijan,2021,January,226015.29032258064
Azerbaijan,2021,February,232225.7142857143
Azerbaijan,2021,March,243900.83870967742
Azerbaijan,2021,April,293869.23333333334
Azerbaijan,2021,May,329024.77419354836
Azerbaijan,2021,June,335222.26666666666
Azerbaijan,2021,July,338613.6451612903
Azerbaijan,2021,August,375954.70967741933
Azerbaijan,2021,September,462060.4
Azerbaijan,2021,October,503209.3870967742
Azerbaijan,2021,November,562452.8
Azerbaijan,2021,December,606358.4516129033
Azerbaijan,2022,January,629414.4516129033
Azerbaijan,2022,February,740959.4642857143
Azerbaijan,2022,March,790530.8064516129
Azerbaijan,2022,April,792318.4
Azerbaijan,2022,May,792668.0322580645
Azerbaijan,2022,June,792927.4666666667
Azerbaijan,2022,July,794831.3225806452
Azerbaijan,2022,August,806061.8387096775
Azerbaijan,2022,September,818542.3666666667
Azerbaijan,2022,October,822520.0967741936
Azerbaijan,2022,November,823817.5333333333
Azerbaijan,2022,December,825283.5483870967
Azerbaijan,2023,January,827295.0322580645
Azerbaijan,2023,February,828269.8928571428
Azerbaijan,2023,March,828713.7777777778
Bahamas,2020,January,0.0
Bahamas,2020,February,0.0
Bahamas,2020,March,3.193548387096774
Bahamas,2020,April,52.6
Bahamas,2020,May,94.61290322580645
Bahamas,2020,June,103.33333333333333
Bahamas,2020,July,206.5483870967742
Bahamas,2020,August,1347.741935483871
Bahamas,2020,September,3103.4666666666667
Bahamas,2020,October,5494.806451612903
Bahamas,2020,November,7190.6
Bahamas,2020,December,7695.225806451613
Bahamas,2021,January,8037.967741935484
Bahamas,2021,February,8355.0
Bahamas,2021,March,8767.612903225807
Bahamas,2021,April,9654.666666666666
Bahamas,2021,May,11138.741935483871
Bahamas,2021,June,12204.0
Bahamas,2021,July,13477.838709677419
Bahamas,2021,August,16505.41935483871
Bahamas,2021,September,19738.633333333335
Bahamas,2021,October,21797.8064516129
Bahamas,2021,November,22601.666666666668
Bahamas,2021,December,23172.58064516129
Bahamas,2022,January,29899.83870967742
Bahamas,2022,February,32929.92857142857
Bahamas,2022,March,33208.354838709674
Bahamas,2022,April,33400.7
Bahamas,2022,May,34042.967741935485
Bahamas,2022,June,35446.86666666667
Bahamas,2022,July,36377.48387096774
Bahamas,2022,August,36920.74193548387
Bahamas,2022,September,37178.03333333333
Bahamas,2022,October,37334.51612903226
Bahamas,2022,November,37436.166666666664
Bahamas,2022,December,37490.74193548387
Bahamas,2023,January,37491.0
Bahamas,2023,February,37491.0
Bahamas,2023,March,37491.0
Bahrain,2020,January,0.0
Bahrain,2020,February,5.758620689655173
Bahrain,2020,March,250.48387096774192
Bahrain,2020,April,1622.5333333333333
Bahrain,2020,May,6790.387096774193
Bahrain,2020,June,19178.666666666668
Bahrain,2020,July,34667.903225806454
Bahrain,2020,August,46696.54838709677
Bahrain,2020,September,61874.36666666667
Bahrain,2020,October,77058.74193548386
Bahrain,2020,November,84643.76666666666
Bahrain,2020,December,89695.90322580645
Bahrain,2021,January,97507.58064516129
Bahrain,2021,February,113035.89285714286
Bahrain,2021,March,132887.74193548388
Bahrain,2021,April,161265.63333333333
Bahrain,2021,May,204467.93548387097
Bahrain,2021,June,258361.26666666666
Bahrain,2021,July,267658.96774193546
Bahrain,2021,August,270964.9032258064
Bahrain,2021,September,273951.13333333336
Bahrain,2021,October,276032.32258064515
Bahrain,2021,November,277266.1666666667
Bahrain,2021,December,278751.5483870968
Bahrain,2022,January,314837.48387096776
Bahrain,2022,February,462605.03571428574
Bahrain,2022,March,539266.9677419355
Bahrain,2022,April,562367.5666666667
Bahrain,2022,May,577652.9354838709
Bahrain,2022,June,602654.4333333333
Bahrain,2022,July,646236.5483870967
Bahrain,2022,August,666954.8064516129
Bahrain,2022,September,675689.4666666667
Bahrain,2022,October,685642.5806451613
Bahrain,2022,November,693826.3666666667
Bahrain,2022,December,697665.0
Bahrain,2023,January,699643.5806451613
Bahrain,2023,February,702634.5
Bahrain,2023,March,709167.3333333334
Bangladesh,2020,January,0.0
Bangladesh,2020,February,0.0
Bangladesh,2020,March,17.612903225806452
Bangladesh,2020,April,2342.766666666667
Bangladesh,2020,May,23590.677419354837
Bangladesh,2020,June,94555.2
Bangladesh,2020,July,195156.83870967742
Bangladesh,2020,August,276320.8064516129
Bangladesh,2020,September,341093.0333333333
Bangladesh,2020,October,385968.70967741933
Bangladesh,2020,November,435186.3
Bangladesh,2020,December,493595.6451612903
Bangladesh,2021,January,526173.4838709678
Bangladesh,2021,February,540917.4642857143
Bangladesh,2021,March,567202.8387096775
Bangladesh,2021,April,701093.0
Bangladesh,2021,May,781018.0
Bangladesh,2021,June,842993.4
Bangladesh,2021,July,1078532.2258064516
Bangladesh,2021,August,1411454.7419354839
Bangladesh,2021,September,1534584.8
Bangladesh,2021,October,1564422.1612903227
Bangladesh,2021,November,1572939.3333333333
Bangladesh,2021,December,1580547.677419355
Bangladesh,2022,January,1649492.1612903227
Bangladesh,2022,February,1902626.7142857143
Bangladesh,2022,March,1949402.4838709678
Bangladesh,2022,April,1952243.6333333333
Bangladesh,2022,May,1953062.1935483871
Bangladesh,2022,June,1957961.6333333333
Bangladesh,2022,July,1993982.6129032257
Bangladesh,2022,August,2009064.2580645161
Bangladesh,2022,September,2017420.9666666666
Bangladesh,2022,October,2031755.064516129
Bangladesh,2022,November,2036171.3666666667
Bangladesh,2022,December,2036875.4838709678
Bangladesh,2023,January,2037362.2258064516
Bangladesh,2023,February,2037692.892857143
Bangladesh,2023,March,2037838.3333333333
Barbados,2020,January,0.0
Barbados,2020,February,0.0
Barbados,2020,March,8.225806451612904
Barbados,2020,April,69.03333333333333
Barbados,2020,May,87.0
Barbados,2020,June,95.33333333333333
Barbados,2020,July,103.51612903225806
Barbados,2020,August,150.1290322580645
Barbados,2020,September,183.83333333333334
Barbados,2020,October,215.8709677419355
Barbados,2020,November,252.1
Barbados,2020,December,313.3225806451613
Barbados,2021,January,1043.2903225806451
Barbados,2021,February,2259.964285714286
Barbados,2021,March,3434.935483870968
Barbados,2021,April,3756.4333333333334
Barbados,2021,May,3960.3225806451615
Barbados,2021,June,4043.9
Barbados,2021,July,4231.032258064516
Barbados,2021,August,4601.193548387097
Barbados,2021,September,6373.2
Barbados,2021,October,12864.258064516129
Barbados,2021,November,22221.133333333335
Barbados,2021,December,26980.645161290322
Barbados,2022,January,35787.8064516129
Barbados,2022,February,51426.71428571428
Barbados,2022,March,57291.93548387097
Barbados,2022,April,64348.566666666666
Barbados,2022,May,76386.45161290323
Barbados,2022,June,82584.43333333333
Barbados,2022,July,87800.45161290323
Barbados,2022,August,97677.67741935483
Barbados,2022,September,102025.0
Barbados,2022,October,102807.74193548386
Barbados,2022,November,103613.23333333334
Barbados,2022,December,104776.45161290323
Barbados,2023,January,105869.3870967742
Barbados,2023,February,106434.92857142857
Barbados,2023,March,106662.0
Belarus,2020,January,0.0
Belarus,2020,February,0.06896551724137931
Belarus,2020,March,47.25806451612903
Belarus,2020,April,5018.466666666666
Belarus,2020,May,28673.935483870966
Belarus,2020,June,54229.26666666667
Belarus,2020,July,65462.096774193546
Belarus,2020,August,69667.29032258065
Belarus,2020,September,74876.83333333333
Belarus,2020,October,87160.74193548386
Belarus,2020,November,116034.3
Belarus,2020,December,165962.5483870968
Belarus,2021,January,222839.38709677418
Belarus,2021,February,268597.0
Belarus,2021,March,304894.03225806454
Belarus,2021,April,340983.9666666667
Belarus,2021,May,376899.70967741933
Belarus,2021,June,406877.26666666666
Belarus,2021,July,432156.1935483871
Belarus,2021,August,462874.8387096774
Belarus,2021,September,510070.2
Belarus,2021,October,569986.3225806452
Belarus,2021,November,629547.9666666667
Belarus,2021,December,679252.5483870967
Belarus,2022,January,717901.2580645161
Belarus,2022,February,837655.2142857143
Belarus,2022,March,944201.0
Belarus,2022,April,972782.2
Belarus,2022,May,982497.1290322581
Belarus,2022,June,982867.0
Belarus,2022,July,992595.7096774194
Belarus,2022,August,994037.0
Belarus,2022,September,994037.0
Belarus,2022,October,994037.0
Belarus,2022,November,994037.0
Belarus,2022,December,994037.0
Belarus,2023,January,994037.0
Belarus,2023,February,994037.0
Belarus,2023,March,994037.0
Belgium,2020,January,0.0
Belgium,2020,February,0.896551724137931
Belgium,2020,March,2871.2580645161293
Belgium,2020,April,33120.433333333334
Belgium,2020,May,54463.77419354839
Belgium,2020,June,60056.86666666667
Belgium,2020,July,63843.1935483871
Belgium,2020,August,77734.80645161291
Belgium,2020,September,98527.16666666667
Belgium,2020,October,227768.70967741936
Belgium,2020,November,526915.2
Belgium,2020,December,614396.2258064516
Belgium,2021,January,676889.0
Belgium,2021,February,740489.5357142857
Belgium,2021,March,820052.8064516129
Belgium,2021,April,940243.4
Belgium,2021,May,1030801.5806451613
Belgium,2021,June,1076421.7
Belgium,2021,July,1103285.1935483871
Belgium,2021,August,1154919.8064516129
Belgium,2021,September,1215456.8333333333
Belgium,2021,October,1291358.9677419355
Belgium,2021,November,1537107.6333333333
Belgium,2021,December,1964400.2580645161
Belgium,2022,January,2528804.129032258
Belgium,2022,February,3427520.785714286
Belgium,2022,March,3685620.6129032257
Belgium,2022,April,3962497.2666666666
Belgium,2022,May,4117772.4516129033
Belgium,2022,June,4186687.8333333335
Belgium,2022,July,4340823.9677419355
Belgium,2022,August,4457193.612903226
Belgium,2022,September,4510467.433333334
Belgium,2022,October,4585887.064516129
Belgium,2022,November,4625198.9
Belgium,2022,December,4656438.612903226
Belgium,2023,January,4684617.483870967
Belgium,2023,February,4704374.285714285
Belgium,2023,March,4727953.888888889
Belize,2020,January,0.0
Belize,2020,February,0.0
Belize,2020,March,0.5806451612903226
Belize,2020,April,13.7
Belize,2020,May,18.0
Belize,2020,June,21.1
Belize,2020,July,38.96774193548387
Belize,2020,August,447.1290322580645
Belize,2020,September,1514.4
Belize,2020,October,2720.2903225806454
Belize,2020,November,4758.033333333334
Belize,2020,December,9216.322580645161
Belize,2021,January,11461.0
Belize,2021,February,12149.92857142857
Belize,2021,March,12378.548387096775
Belize,2021,April,12539.166666666666
Belize,2021,May,12730.838709677419
Belize,2021,June,12995.333333333334
Belize,2021,July,13697.709677419354
Belize,2021,August,15099.290322580646
Belize,2021,September,18297.633333333335
Belize,2021,October,23904.1935483871
Belize,2021,November,29008.933333333334
Belize,2021,December,31252.322580645163
Belize,2022,January,41733.903225806454
Belize,2022,February,55209.28571428572
Belize,2022,March,57075.41935483871
Belize,2022,April,57367.5
Belize,2022,May,58197.709677419356
Belize,2022,June,61566.53333333333
Belize,2022,July,65798.2258064516
Belize,2022,August,67775.54838709677
Belize,2022,September,68609.96666666666
Belize,2022,October,68910.64516129032
Belize,2022,November,68988.86666666667
Belize,2022,December,69444.29032258065
Belize,2023,January,70413.19354838709
Belize,2023,February,70710.10714285714
Belize,2023,March,70757.0
Benin,2020,January,0.0
Benin,2020,February,0.0
Benin,2020,March,2.193548387096774
Benin,2020,April,39.266666666666666
Benin,2020,May,211.80645161290323
Benin,2020,June,591.9
Benin,2020,July,1484.5806451612902
Benin,2020,August,2027.5806451612902
Benin,2020,September,2267.1
Benin,2020,October,2482.064516129032
Benin,2020,November,2854.0333333333333
Benin,2020,December,3132.6451612903224
Benin,2021,January,3478.5806451612902
Benin,2021,February,4782.535714285715
Benin,2021,March,6558.0
Benin,2021,April,7572.333333333333
Benin,2021,May,7975.064516129032
Benin,2021,June,8128.466666666666
Benin,2021,July,8266.290322580646
Benin,2021,August,10212.645161290322
Benin,2021,September,20374.666666666668
Benin,2021,October,24439.225806451614
Benin,2021,November,24827.2
Benin,2021,December,24902.74193548387
Benin,2022,January,25938.58064516129
Benin,2022,February,26537.964285714286
Benin,2022,March,26769.064516129034
Benin,2022,April,26952.0
Benin,2022,May,26952.0
Benin,2022,June,27040.133333333335
Benin,2022,July,27243.41935483871
Benin,2022,August,27332.83870967742
Benin,2022,September,27573.866666666665
Benin,2022,October,27763.41935483871
Benin,2022,November,27895.533333333333
Benin,2022,December,27981.032258064515
Benin,2023,January,27985.612903225807
Benin,2023,February,27989.75
Benin,2023,March,27993.0
Bhutan,2020,January,0.0
